filing_date,filing_year,filing_quarter,institution_name,institution_cik,accession_number,ticker,form_type
2025-05-15,2025,Q2,Berkshire Hathaway Inc,0001067983,0000950123-25-005701,NVDA,13F-HR
2025-05-15,2025,Q2,State Street Corp,0001418814,0001418812-25-000015,NVDA,13F-HR
2025-05-12,2025,Q2,Fidelity Management & Research,0000315066,0000315066-25-001380,NVDA,13F-HR
2025-02-14,2025,Q1,Berkshire Hathaway Inc,0001067983,0000950123-25-002701,NVDA,13F-HR
2025-02-14,2025,Q1,State Street Corp,0001418814,0001418812-25-000004,NVDA,13F-HR
2025-02-13,2025,Q1,Fidelity Management & Research,0000315066,0000315066-25-000939,NVDA,13F-HR
2024-11-14,2024,Q4,Berkshire Hathaway Inc,0001067983,0000950123-24-011775,NVDA,13F-HR
2024-11-14,2024,Q4,State Street Corp,0001418814,0001418812-24-000021,NVDA,13F-HR
2024-11-13,2024,Q4,Fidelity Management & Research,0000315066,0001385495-24-000014,NVDA,13F-HR
2024-08-14,2024,Q3,Berkshire Hathaway Inc,0001067983,0000950123-24-008740,NVDA,13F-HR
2024-08-14,2024,Q3,State Street Corp,0001418814,0001418812-24-000017,NVDA,13F-HR
2024-08-13,2024,Q3,Vanguard Group Inc,0001364742,0001086364-24-008417,NVDA,13F-HR
2024-08-13,2024,Q3,Fidelity Management & Research,0000315066,0000315066-24-001900,NVDA,13F-HR
2024-05-15,2024,Q2,Berkshire Hathaway Inc,0001067983,0000950123-24-005622,NVDA,13F-HR
2024-05-15,2024,Q2,State Street Corp,0001418814,0001418812-24-000011,NVDA,13F-HR
2024-05-13,2024,Q2,Fidelity Management & Research,0000315066,0000318989-24-000107,NVDA,13F-HR
2024-05-10,2024,Q2,Vanguard Group Inc,0001364742,0001086364-24-007638,NVDA,13F-HR
2024-02-14,2024,Q1,State Street Corp,0001418814,0001418812-24-000003,NVDA,13F-HR
2024-02-14,2024,Q1,Berkshire Hathaway Inc,0001067983,0000950123-24-002518,NVDA,13F-HR
2024-02-13,2024,Q1,Fidelity Management & Research,0000315066,0000315066-24-001639,NVDA,13F-HR
2024-02-13,2024,Q1,Vanguard Group Inc,0001364742,0001086364-24-006999,NVDA,13F-HR
2023-11-14,2023,Q4,State Street Corp,0001418814,0001418812-23-000073,NVDA,13F-HR
2023-11-14,2023,Q4,Berkshire Hathaway Inc,0001067983,0000950123-23-010898,NVDA,13F-HR
2023-11-13,2023,Q4,Vanguard Group Inc,0001364742,0001306550-23-010335,NVDA,13F-HR
2023-11-13,2023,Q4,Fidelity Management & Research,0000315066,0000315066-23-002761,NVDA,13F-HR
2023-08-14,2023,Q3,Berkshire Hathaway Inc,0001067983,0000950123-23-008074,NVDA,13F-HR
2023-08-14,2023,Q3,State Street Corp,0001418814,0001418812-23-000038,NVDA,13F-HR
2023-08-11,2023,Q3,Vanguard Group Inc,0001364742,0001306550-23-009732,NVDA,13F-HR
2023-08-11,2023,Q3,Fidelity Management & Research,0000315066,0000315066-23-002535,NVDA,13F-HR
2023-05-15,2023,Q2,State Street Corp,0001418814,0001418812-23-000026,NVDA,13F-HR
2023-05-15,2023,Q2,Berkshire Hathaway Inc,0001067983,0000950123-23-005270,NVDA,13F-HR
2023-05-12,2023,Q2,Vanguard Group Inc,0001364742,0001086364-23-000015,NVDA,13F-HR
2023-05-11,2023,Q2,Fidelity Management & Research,0000315066,0000315066-23-002273,NVDA,13F-HR
2023-02-14,2023,Q1,State Street Corp,0001418814,0001418812-23-000011,NVDA,13F-HR
2023-02-14,2023,Q1,Berkshire Hathaway Inc,0001067983,0000950123-23-002585,NVDA,13F-HR
2023-02-13,2023,Q1,Fidelity Management & Research,0000315066,0000315066-23-002179,NVDA,13F-HR
2023-02-13,2023,Q1,Vanguard Group Inc,0001364742,0000913414-23-000035,NVDA,13F-HR
2022-11-14,2022,Q4,Berkshire Hathaway Inc,0001067983,0000950123-22-012275,NVDA,13F-HR
2022-11-14,2022,Q4,Vanguard Group Inc,0001364742,0001086364-22-000004,NVDA,13F-HR
2022-11-14,2022,Q4,State Street Corp,0001418814,0001418812-22-000068,NVDA,13F-HR
2022-11-10,2022,Q4,Fidelity Management & Research,0000315066,0000315066-22-001817,NVDA,13F-HR
2022-08-15,2022,Q3,Berkshire Hathaway Inc,0001067983,0000950123-22-009450,NVDA,13F-HR
2022-08-15,2022,Q3,State Street Corp,0001418814,0001418812-22-000053,NVDA,13F-HR
2022-08-12,2022,Q3,Vanguard Group Inc,0001364742,0000834237-22-010526,NVDA,13F-HR
2022-08-12,2022,Q3,Fidelity Management & Research,0000315066,0000315066-22-001714,NVDA,13F-HR
2022-05-16,2022,Q2,State Street Corp,0001418814,0001418812-22-000034,NVDA,13F-HR
2022-05-16,2022,Q2,Berkshire Hathaway Inc,0001067983,0000950123-22-006442,NVDA,13F-HR
2022-05-13,2022,Q2,Fidelity Management & Research,0000315066,0000315066-22-001585,NVDA,13F-HR
2022-05-12,2022,Q2,Vanguard Group Inc,0001364742,0000834237-22-009651,NVDA,13F-HR
2022-02-14,2022,Q1,State Street Corp,0001418814,0001418812-22-000008,NVDA,13F-HR
2022-02-14,2022,Q1,Fidelity Management & Research,0000315066,0000315066-22-001410,NVDA,13F-HR
2022-02-14,2022,Q1,Berkshire Hathaway Inc,0001067983,0000950123-22-002973,NVDA,13F-HR
2022-02-10,2022,Q1,Vanguard Group Inc,0001364742,0000834237-22-008654,NVDA,13F-HR
2021-11-15,2021,Q4,State Street Corp,0001418814,0001418812-21-000065,NVDA,13F-HR
2021-11-15,2021,Q4,Fidelity Management & Research,0000315066,0000315066-21-001858,NVDA,13F-HR
2021-11-15,2021,Q4,Berkshire Hathaway Inc,0001067983,0000950123-21-015518,NVDA,13F-HR
2021-11-09,2021,Q4,Vanguard Group Inc,0001364742,0001086364-21-000104,NVDA,13F-HR
2021-08-16,2021,Q3,State Street Corp,0001418814,0001418812-21-000049,NVDA,13F-HR
2021-08-16,2021,Q3,Berkshire Hathaway Inc,0001067983,0000950123-21-011396,NVDA,13F-HR
2021-08-13,2021,Q3,Fidelity Management & Research,0000315066,0000315066-21-001700,NVDA,13F-HR
2021-08-11,2021,Q3,Vanguard Group Inc,0001364742,0001086364-21-000071,NVDA,13F-HR
2021-05-17,2021,Q2,Berkshire Hathaway Inc,0001067983,0000950123-21-007024,NVDA,13F-HR
2021-05-17,2021,Q2,State Street Corp,0001418814,0001418812-21-000031,NVDA,13F-HR
2021-05-14,2021,Q2,Fidelity Management & Research,0000315066,0000315066-21-001551,NVDA,13F-HR
2021-05-07,2021,Q2,Vanguard Group Inc,0001364742,0001086364-21-000038,NVDA,13F-HR
2021-02-16,2021,Q1,State Street Corp,0001418814,0001418812-21-000008,NVDA,13F-HR
2021-02-16,2021,Q1,Berkshire Hathaway Inc,0001067983,0000950123-21-002786,NVDA,13F-HR
2021-02-08,2021,Q1,Fidelity Management & Research,0000315066,0000315066-21-000776,NVDA,13F-HR
2021-02-05,2021,Q1,Vanguard Group Inc,0001364742,0001086364-21-000004,NVDA,13F-HR
2020-11-16,2020,Q4,Berkshire Hathaway Inc,0001067983,0000950123-20-012127,NVDA,13F-HR
2020-11-16,2020,Q4,State Street Corp,0001418814,0001418812-20-000084,NVDA,13F-HR
2020-11-13,2020,Q4,Fidelity Management & Research,0000315066,0000315066-20-001924,NVDA,13F-HR
2020-11-06,2020,Q4,Vanguard Group Inc,0001364742,0001426459-20-000005,NVDA,13F-HR
2020-08-14,2020,Q3,Berkshire Hathaway Inc,0001067983,0000950123-20-009058,NVDA,13F-HR
2020-08-14,2020,Q3,Vanguard Group Inc,0001364742,0001086364-20-000070,NVDA,13F-HR
2020-08-14,2020,Q3,State Street Corp,0001418814,0001418812-20-000071,NVDA,13F-HR
2020-08-13,2020,Q3,Fidelity Management & Research,0000315066,0000315066-20-001699,NVDA,13F-HR
2020-05-15,2020,Q2,State Street Corp,0001418814,0001418812-20-000040,NVDA,13F-HR
2020-05-15,2020,Q2,Berkshire Hathaway Inc,0001067983,0000950123-20-005345,NVDA,13F-HR
2020-05-14,2020,Q2,Fidelity Management & Research,0000315066,0000315066-20-001509,NVDA,13F-HR
2020-05-01,2020,Q2,Vanguard Group Inc,0001364742,0001086364-20-000038,NVDA,13F-HR
2020-02-14,2020,Q1,State Street Corp,0001418814,0001418812-20-000017,NVDA,13F-HR
2020-02-14,2020,Q1,Berkshire Hathaway Inc,0001067983,0000950123-20-002466,NVDA,13F-HR
2020-02-13,2020,Q1,Vanguard Group Inc,0001364742,0001086364-20-000006,NVDA,13F-HR
2020-02-07,2020,Q1,Fidelity Management & Research,0000315066,0000315066-20-001309,NVDA,13F-HR
2019-11-14,2019,Q4,Berkshire Hathaway Inc,0001067983,0000950123-19-011362,NVDA,13F-HR
2019-11-14,2019,Q4,State Street Corp,0001418814,0001418812-19-000085,NVDA,13F-HR
2019-11-13,2019,Q4,Fidelity Management & Research,0000315066,0000315066-19-001769,NVDA,13F-HR
2019-11-08,2019,Q4,Vanguard Group Inc,0001364742,0001086364-19-000103,NVDA,13F-HR
2019-08-14,2019,Q3,Berkshire Hathaway Inc,0001067983,0000950123-19-008356,NVDA,13F-HR
2019-08-14,2019,Q3,State Street Corp,0001418814,0001418812-19-000054,NVDA,13F-HR
2019-08-13,2019,Q3,Vanguard Group Inc,0001364742,0001086364-19-000066,NVDA,13F-HR
2019-08-13,2019,Q3,Fidelity Management & Research,0000315066,0000315066-19-001680,NVDA,13F-HR
2019-05-15,2019,Q2,Berkshire Hathaway Inc,0001067983,0000950123-19-005436,NVDA,13F-HR
2019-05-15,2019,Q2,State Street Corp,0001418814,0001418812-19-000033,NVDA,13F-HR
2019-05-13,2019,Q2,Fidelity Management & Research,0000315066,0000315066-19-001533,NVDA,13F-HR
2019-05-09,2019,Q2,Vanguard Group Inc,0001364742,0001086364-19-000034,NVDA,13F-HR
2019-02-14,2019,Q1,State Street Corp,0001418814,0001418812-19-000008,NVDA,13F-HR
2019-02-14,2019,Q1,Berkshire Hathaway Inc,0001067983,0000950123-19-002221,NVDA,13F-HR
2019-02-13,2019,Q1,Fidelity Management & Research,0000315066,0000315066-19-000784,NVDA,13F-HR
2019-02-08,2019,Q1,Vanguard Group Inc,0001364742,0001086364-19-000003,NVDA,13F-HR
2018-11-14,2018,Q4,Berkshire Hathaway Inc,0001067983,0000950123-18-011885,NVDA,13F-HR
2018-11-14,2018,Q4,State Street Corp,0001418814,0001418812-18-000103,NVDA,13F-HR
2018-11-09,2018,Q4,Vanguard Group Inc,0001364742,0001086364-18-000095,NVDA,13F-HR
2018-11-09,2018,Q4,Fidelity Management & Research,0000315066,0000315066-18-002467,NVDA,13F-HR
2018-08-14,2018,Q3,State Street Corp,0001418814,0001418812-18-000078,NVDA,13F-HR
2018-08-14,2018,Q3,Berkshire Hathaway Inc,0001067983,0000950123-18-008866,NVDA,13F-HR
2018-08-10,2018,Q3,Fidelity Management & Research,0000315066,0000315066-18-002174,NVDA,13F-HR
2018-08-09,2018,Q3,Vanguard Group Inc,0001364742,0001086364-18-000066,NVDA,13F-HR
2018-05-15,2018,Q2,State Street Corp,0001418814,0001418812-18-000051,NVDA,13F-HR
2018-05-15,2018,Q2,Berkshire Hathaway Inc,0001067983,0000950123-18-005732,NVDA,13F-HR
2018-05-14,2018,Q2,Fidelity Management & Research,0000315066,0000315066-18-001924,NVDA,13F-HR
2018-05-09,2018,Q2,Vanguard Group Inc,0001364742,0001086364-18-000035,NVDA,13F-HR
2018-02-15,2018,Q1,State Street Corp,0001418814,0001418812-18-000014,NVDA,13F-HR
2018-02-14,2018,Q1,Berkshire Hathaway Inc,0001067983,0000950123-18-002390,NVDA,13F-HR
2018-02-12,2018,Q1,Fidelity Management & Research,0000315066,0000315066-18-000985,NVDA,13F-HR
2018-02-09,2018,Q1,Vanguard Group Inc,0001364742,0001086364-18-000003,NVDA,13F-HR
2017-11-14,2017,Q4,State Street Corp,0001418814,0001418812-17-000114,NVDA,13F-HR
2017-11-14,2017,Q4,Vanguard Group Inc,0001364742,0001086364-17-000128,NVDA,13F-HR
2017-11-14,2017,Q4,Berkshire Hathaway Inc,0001067983,0000950123-17-010896,NVDA,13F-HR
2017-11-13,2017,Q4,Fidelity Management & Research,0000315066,0000315066-17-002895,NVDA,13F-HR
2017-08-14,2017,Q3,Berkshire Hathaway Inc,0001067983,0000950123-17-007953,NVDA,13F-HR
2017-08-14,2017,Q3,State Street Corp,0001418814,0001418812-17-000069,NVDA,13F-HR
2017-08-11,2017,Q3,Fidelity Management & Research,0000315066,0000315066-17-002681,NVDA,13F-HR
2017-08-10,2017,Q3,Vanguard Group Inc,0001364742,0001086364-17-000071,NVDA,13F-HR
2017-05-15,2017,Q2,Berkshire Hathaway Inc,0001067983,0000950123-17-005259,NVDA,13F-HR
2017-05-15,2017,Q2,State Street Corp,0001418814,0001418812-17-000039,NVDA,13F-HR
2017-05-12,2017,Q2,Vanguard Group Inc,0001364742,0001086364-17-000069,NVDA,13F-HR
2017-05-11,2017,Q2,Fidelity Management & Research,0000315066,0000315066-17-002352,NVDA,13F-HR
2017-02-14,2017,Q1,Berkshire Hathaway Inc,0001067983,0000950123-17-002417,NVDA,13F-HR
2017-02-14,2017,Q1,State Street Corp,0001418814,0001418812-17-000016,NVDA,13F-HR
2017-02-10,2017,Q1,Fidelity Management & Research,0000315066,0000315066-17-000983,NVDA,13F-HR
2017-02-10,2017,Q1,Vanguard Group Inc,0001364742,0001086364-17-000005,NVDA,13F-HR
2016-11-15,2016,Q4,State Street Corp,0001418814,0001418812-16-000209,NVDA,13F-HR
2016-11-14,2016,Q4,Fidelity Management & Research,0000315066,0000315066-16-006411,NVDA,13F-HR
2016-11-14,2016,Q4,Berkshire Hathaway Inc,0001067983,0000950123-16-022377,NVDA,13F-HR
2016-11-08,2016,Q4,Vanguard Group Inc,0001364742,0001086364-16-002326,NVDA,13F-HR
2016-08-15,2016,Q3,Berkshire Hathaway Inc,0001067983,0000950123-16-020120,NVDA,13F-HR
2016-08-15,2016,Q3,State Street Corp,0001418814,0001418812-16-000170,NVDA,13F-HR
2016-08-11,2016,Q3,Fidelity Management & Research,0000315066,0000315066-16-006144,NVDA,13F-HR
2016-08-10,2016,Q3,Vanguard Group Inc,0001364742,0001034551-16-000004,NVDA,13F-HR
2016-05-16,2016,Q2,Berkshire Hathaway Inc,0001067983,0000950123-16-017295,NVDA,13F-HR
2016-05-16,2016,Q2,State Street Corp,0001418814,0001418812-16-000144,NVDA,13F-HR
2016-05-16,2016,Q2,Fidelity Management & Research,0000315066,0000315066-16-005848,NVDA,13F-HR
2016-05-10,2016,Q2,Vanguard Group Inc,0001364742,0001086364-16-002309,NVDA,13F-HR
2016-02-16,2016,Q1,State Street Corp,0001418814,0001418812-16-000098,NVDA,13F-HR
2016-02-16,2016,Q1,Berkshire Hathaway Inc,0001067983,0000950123-16-015025,NVDA,13F-HR
2016-02-12,2016,Q1,Fidelity Management & Research,0000315066,0000315066-16-005622,NVDA,13F-HR
2016-02-11,2016,Q1,Vanguard Group Inc,0001364742,0001086364-16-002274,NVDA,13F-HR
2015-11-16,2015,Q4,State Street Corp,0001418814,0001418812-15-000075,NVDA,13F-HR
2015-11-16,2015,Q4,Berkshire Hathaway Inc,0001067983,0000950123-15-011992,NVDA,13F-HR
